python;
size;time
64;0,602
128;0,675
256;1,426
512;4,281
1024;15,994
2048;63,05
javascript;
size;time
64;0,467
128;0,439
256;0,477
512;0,499
1024;0,694
2048;1,466
Go;
size;time
64;2,09
128;2,16
256;2,25
512;4,03
1024;17,07
2048;101,32
java/needle;
size;time
64;0,277
128;0,259
256;0,257
512;0,277
1024;0,335
2048;0,426
C;
size;time
64;0,311
128;0,124
256;0,098
512;2,084
1024;2,043
2048;2,073
rust;
size;time
64;0,229
128;1,146
256;8,627
512;67,728
